Date,P,z,Gp,Bg
25-Jan-66,11444,1.496,0,0.00267181
1-Feb-67,10674,1.438,9.92,0.00275349
1-Feb-68,10131,1.397,28.62,0.00281836
1-Jun-69,9253,1.33,53.6,0.00293779
1-Jun-70,8574,1.28,77.67,0.00305126
1-Jun-71,7906,1.23,101.42,0.00317981
1-Jun-72,7380,1.192,120.36,0.0033012
1-Sep-73,6847,1.154,145.01,0.00344475
1-Aug-74,6388,1.122,160.63,0.00358988
1-Aug-75,5827,1.084,182.34,0.00380221
10-Jun-76,5409,1.057,197.73,0.00399402
1-Jun-77,5000,1.033,215.66,0.00422263
1-Aug-78,4500,1.005,235.74,0.00456463
1-Aug-79,4170,0.988,245.9,0.00484254
